ruc,razon_social,tipo_contribuyente,profesion_oficio,nombre_comercial,condicion_contribuyente,estado_contribuyente,fecha_inscripcion,fecha_inicio_actividades,departamento,provincia,distrito,direccion,telefono,fax,actividad_comercio_exterior,ciiu_principal,ciiu_secundario_1,ciiu_secundario_2,afecto_nuevo_rus,buen_contribuyente,agente_retencion,agente_percepcion_venta_interna,agente_percepcion_combustible,fecha_consulta
20479622699,COOPERATIVA AGRARIA JUAN MARCO EL PALTO,"COOPERATIVAS, SAIS, CAPS",,,HABIDO,ACTIVO,2003-06-05,2003-06-01,AMAZONAS,UTCUBAMBA,LONYA GRANDE,CAL. PRIMERO DE OCTUBRE NRO. REF SEC. NUEVA DELLI (A 1 CDRA DEL PARQUE INFANTIL),,,EXPORTADOR,CULTIVO DE FRUTAS.,,OTROS TIPOS DE VENTA AL POR MENOR.,NO,,,,,2026-09-19T21:44:11.515Z
20479728501,ASOCIACION AGROPECUARIA DE MOLINOPAMPA,ASOCIACION,,,HABIDO,ACTIVO,2004-04-05,2004-11-17,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,JR. EL MOLINO NRO. S/N (COSTADO A LA FISCALIA),,,SIN ACTIVIDAD,ELAB DE PRODUCTOS LACTEOS.,FAB. OTROS PRODUCTOS DE MADERA.,TRANSPORTE  DE CARGA POR CARRETERA.,NO,,,,,2026-09-19T21:35:37.435Z
20479856258,ASOCIACION DE PRODUCTORES AGROPECUARIOS LUIS SOLIBARRIA,ASOCIACION,,,HABIDO,BAJA DE OFICIO,2005-04-29,2005-05-01,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,AV. CHACHAPOYAS NRO. 3125,,,SIN ACTIVIDAD,"ELAB. CACAO, CHOCOLATE Y CONFIT.",VTA.  MAY. DE MATERIAS PRIMAS AGROPEC.,,NO,,,,,2026-09-19T21:49:13.930Z
20479917141,COOPERATIVA AGRARIA CENTRAL DE PRODUCTORES DE AMAZONAS,"COOPERATIVAS, SAIS, CAPS",,CEPROAA,HABIDO,ACTIVO,2005-09-30,2005-09-30,AMAZONAS,UTCUBAMBA,CAJARURO,JR. ATAHUALPA NRO. 150 (AL COSTADO DE LA POSTA MEDICA),,,IMPORTADOR/EXPORTADOR,VTA.  MAY. DE MATERIAS PRIMAS AGROPEC.,,,NO,,,,,2026-09-19T21:42:35.997Z
20480118295,ASOCIACION DE PRODUCTORES AGROPECUARIOS SANTO TOMAS,ASOCIACION,,BELLA TOMASINA,HABIDO,ACTIVO,2007-02-05,2007-02-01,AMAZONAS,LUYA,SANTO TOMAS,PRO. JUNIN NRO. 100 (FRENTE AL MIRADOR PERLAS),,,SIN ACTIVIDAD,ELAB DE PRODUCTOS LACTEOS.,,,NO,,,,,2026-09-19T21:38:03.020Z
20480458550,COOPERATIVA AGRARIA APROCAM,"COOPERATIVAS, SAIS, CAPS",,,HABIDO,ACTIVO,2008-09-09,2008-09-01,AMAZONAS,BAGUA,BAGUA,OTR. CARRETERA BAGUA COPALLIN KM. 4 C.P. CERCADO (KILOMETRO 4.5 C.P. TOMAQUE),,,EXPORTADOR,VTA.  MAY. DE MATERIAS PRIMAS AGROPEC.,"ELAB. CACAO, CHOCOLATE Y CONFIT.",,NO,,,,,2026-09-19T21:42:35.997Z
20480762895,ASOCIACION DE PRODUCTORES AGROPECUARIOS LA FLOR DE CAFE,ASOCIACION,,,HABIDO,BAJA DE OFICIO,2009-12-22,2009-12-01,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,JR. ALONSO DE ALVARADO NRO. S/ N BARRIO DE ONCHE (FRENTE A FISCALIA. COLOR BLANCA),,,EXPORTADOR,ACTIVIDADES OTRAS ASOCIACIONES NCP.,"SERVICIOS AGRICOLAS, GANADERAS.",TRANSPORTE  DE CARGA POR CARRETERA.,NO,,,,,2026-09-19T21:49:13.930Z
20481402540,ASOCIACION DE APICULTORES NECTAR DE VIDA DEL VALLE CHICAMA,ASOCIACION,,,HABIDO,BAJA DE OFICIO,2024-06-20,2024-06-20,LA LIBERTAD,ASCOPE,PAIJAN,CAL. CASA GRANDE NRO. 198 SEC. LICAPA,,,SIN ACTIVIDAD,CRIA DE ANIMALES DOMESTICOS.,OTROS TIPOS DE VENTA POR MENOR.,,NO,,,,,2026-09-19T21:49:13.930Z
20481929122,ASOCIACION DE PEQUEÑOS PRODUCTORES AGROPECUARIOS PERLA DEL PARAISO,ASOCIACION,,,HABIDO,ACTIVO,2016-11-10,2016-11-10,LA LIBERTAD,OTUZCO,AGALLPAMPA,NRO. 25 CAS. EL PARAISO,,,SIN ACTIVIDAD,CRIA DE GANADO.,ELAB DE PRODUCTOS LACTEOS.,,NO,,,,,2026-09-19T21:35:37.435Z
20482423320,ASOCIACION DE PRODUCTORES AGROINDUSTRIALES SANTA ROSA,ASOCIACION,,,HABIDO,BAJA DE OFICIO,2016-03-09,2016-03-09,LA LIBERTAD,OTUZCO,OTUZCO,LOS ROSALES NRO. SN BAR. RAMON CASTILLA,,,SIN ACTIVIDAD,OTROS TIPOS DE VENTA POR MENOR.,,,NO,,,,,2026-09-19T21:49:13.930Z
